slug,description,visual_style,primary_font,display_font,mono_font,type_scale,palette_keys,primary_hex,secondary_hex,surface_hex,text_hex,spacing_scale
agentic,"Conversational AI-first interface with minimal controls, clear outcomes, and delegated task flows for agentic workflows.","modern, bold",Playfair Display,Playfair Display,JetBrains Mono,14/16/18/24/32/40 ,surface/subtle layers,#FF5701,#F6F6F1,#FFFFFF,#111827,8pt baseline grid
ant,"Structured, enterprise-focused design system emphasizing clarity, consistency, and efficiency for data-dense web applications.","data-dense, enterprise",Plus Jakarta Sans,Plus Jakarta Sans,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#1677ff,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
application,"App dashboard with purple-themed aesthetic, top-bar navigation, card-based layouts, and developer-first workflows.","modern, clean, high-contrast, glass-like panels, soft shadows, rounded components",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary (purple), neutral, success, warning, danger",#9333ea,#a855f7,#FFFFFF,#09090b,4/8/12/16/24/32
artistic,"High-contrast, expressive style with creative typography and bold color choices for visually striking interfaces.","high-contrast, artistic",Limelight,Limelight,JetBrains Mono,12/14/16/18/24/30/36 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
bento,"Modular grid layout with card-like blocks, clear hierarchy, soft spacing, and subtle visual contrast for organized, scannable interfaces.","modern, clean",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#FAD4C0,#80A1C1,#FFF5E6,#111827,4/8/12/16/24/32
bold,"Strong visual presence with heavyweight typography, high-contrast colors, and commanding layouts.",bold,Archivo Black,Archivo Black,JetBrains Mono,desktop-first expressive scale ,"primary, secondary",#0077BC,#009866,#111111,#111827,4/8/12/16/24/32
brutalism,"Raw, anti-design aesthetic inspired by concrete architecture with unadorned elements, jarring layouts, and functional minimalism.",bold,Darker Grotesque,Darker Grotesque,JetBrains Mono,desktop-first expressive scale ,"primary, secondary, neutral, success, warning, danger",#DD614C,#DAA144,#FFFFFF,#111827,4/8/12/16/24/32
cafe,"Cozy cafe-inspired interface with warm tones, soft typography, and clean layouts for a relaxed browsing experience.","minimal, clean",Poppins,Poppins,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#5D4432,#E9E3DD,#F9F7F5,#3E2B1E,2/4/8/12/16/24/32/48
claude,"A research-journal aesthetic printed on warm stone — authoritative, editorial, almost achromatic. Pages live on warm ivory parchment (never pure white), with near-black slate as the dominant ink.","modern, minimal, clean",Anthropic Sans,Anthropic Sans,JetBrains Mono,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#141413,#FAF9F6,#FFFFFF,#111827,4/8/12/16/24/32
claymorphism,"Soft, rounded 3D-like shapes mimicking malleable clay with playful, puffy elements and colorful surfaces.","modern, high-contrast, playful",Montserrat,Poppins,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#FFFFFF,#FFFFFF,#1C398E,4/8/12/16/24/32
